,City,Country,Lat,Lng,Hotel Name
0,Usinsk, RU,65.99,57.53,"Gostinitsa ""Uyutnyy Dom"""
1,San Patricio, US,28.02,-97.52,
2,Puerto Carreño, CO,6.19,-67.49,Casa Hotel Victoria
3,Heihe, CN,50.24,127.49,Tianzhi Hotel
4,Bluff, NZ,-46.6,168.33,
5,Coyhaique, CL,-45.58,-72.07,The Patagonian Lodge
6,Mataura, NZ,-46.19,168.86,Falls Hotel
7,Rikitea, PF,-23.12,-134.97,Pension Maro'i
8,Upernavik, GL,72.79,-56.15,Gina's Guesthouse - Upernavik
9,La Santisima Trinidad, BO,-14.83,-64.9,Hotel Piesta
10,Broome, US,42.25,-75.83,
11,Djibouti, DJ,11.5,42.5,
12,Punta Arenas, CL,-53.15,-70.92,Hostal Buenavista Patagonia
13,Carman, CA,49.5,-98.0,"Bell Aura Bed, Breakfast & Bistro"
14,Hermanus, ZA,-34.42,19.23,Misty Waves Boutique Hotel
15,Hong Kong, HK,22.29,114.16,Four Seasons Hotel Hong Kong
16,Rong Kwang, TH,18.34,100.32,Aongtong Homestay
17,Ushuaia, AR,-54.8,-68.3,Mil 810 Ushuaia Hotel
18,Sechura, PE,-5.56,-80.82,Hotel Loma Dorada
19,Gorom-Gorom, BF,14.44,-0.24,
20,Margate, GB,51.38,1.39,
21,La Plaine, DM,15.33,-61.25,
22,Talnakh, RU,69.49,88.4,
23,Dikson, RU,73.51,80.55,
24,Kutum, SD,14.2,24.67,
25,Provideniya, RU,64.38,-173.3,
26,Handan, CN,36.6,114.47,Handan Hotel
27,Esperance, AU,-33.87,121.9,Esperance Central Accommodation
28,Te Anau, NZ,-45.42,167.72,Distinction Luxmore Hotel Te Anau
29,Katsuura, JP,35.13,140.3,
30,Busselton, AU,-33.65,115.33,
31,Ribeira Grande, PT,38.52,-28.7,
32,Kapaa, US,22.08,-159.32,Hotel Coral Reef
33,Zhigalovo, RU,54.81,105.16,"Hotel ""Lenatur"""
34,Lüshunkou, CN,38.8,121.27,
